mID,mName,mSubType,mRarity,mMoveLimit
1,체력 회복 포션[소],27,0,6
2,체력 회복 포션[중],27,0,6
3,체력 회복 포션[대],27,0,6
50,영웅의 등심 숯불구이,28,0,6
51,사냥꾼의 닭고기 스튜,28,0,6
52,현자의 생선 수프,28,0,6
53,모험가를 위한 특선 요리,28,0,6
54,특별한 모둠 꼬치구이,28,0,6
60,아드레날린 증폭 포션,28,0,6
61,상급 아드레날린 증폭 포션,28,1,6
910442,상급 아드레날린 증폭 포션[이벤트],28,1,6
62,최상급 아드레날린 증폭 포션,28,2,6
80,현자의 물약,28,0,6
81,마나 회복제,28,0,6
90,해독 포션,28,0,6
100,신속 포션,28,0,6
101,대형 신속 포션,28,0,6
105,투지 포션,28,0,6
110,초신속 포션,28,0,6
120,경험치 증폭제[10%],28,0,6
121,경험치 증폭제[20%],28,0,6
910443,경험치 증폭제[20%][이벤트],28,0,6
122,어쌔신 전용 경험치 증폭제[100%],28,0,6
123,경험치 증폭제[30%],28,0,6
124,경험치 증폭제[50%],28,0,6
125,경험치 증폭제[100%],28,0,6
130,검술의 비약,28,0,6
131,궁술의 비약,28,0,6
132,마법의 비약,28,0,6
140,암살단의 독병,79,0,6
141,암살단의 맹독병,79,0,6
142,암살단의 강렬한 독병,79,0,6
150,콜포트의 축복,28,2,6
151,데모자르의 축복,28,2,6
160,무기 각인 증폭제,28,2,6
170,이계의 마력,28,0,6
171,상급 이계의 마력,28,0,6
172,최상급 이계의 마력,28,0,6
200,마을 귀환 주문서,35,0,6
201,아지트 귀환 주문서,36,0,6
202,순간 이동 주문서,40,0,6
203,빛나는 순간 이동 주문서,39,0,6
250,스크롤 : 마나 리제네레이션,28,0,6
251,스크롤 : 스톤 스킨,28,0,6
252,스크롤 : 웨이트 익스텐션,28,0,6
260,회복의 마법 주문서,28,0,6
261,상급 회복의 마법 주문서,28,0,6
910444,상급 회복의 마법 주문서[이벤트],28,0,6
262,최상급 회복의 마법 주문서,28,0,6
270,전투의 마법 주문서,28,0,6
271,상급 전투의 마법 주문서,28,0,6
910445,상급 전투의 마법 주문서[이벤트],28,0,6
272,최상급 전투의 마법 주문서,28,0,6
280,계승자의 의지 물약,28,2,6
300,무기 강화 주문서,30,0,0
301,방어구 강화 주문서,30,0,0
302,장신구 강화 주문서,30,0,0
303,슬롯 강화 주문서,93,0,0
304,매터리얼 슬롯 강화 주문서,97,0,6
305,유물 강화 주문서,30,0,0
306,축복 타입 유물 강화 주문서,30,0,6
310,축복받은 무기 강화 주문서,32,0,0
311,축복받은 방어구 강화 주문서,32,0,0
312,축복받은 장신구 강화 주문서,32,0,0
313,축복받은 유물 강화 주문서,32,0,0
314,찬란한 축복 타입 유물 강화 주문서,32,0,6
320,저주받은 무기 강화 주문서,31,0,0
321,저주받은 방어구 강화 주문서,31,0,0
322,저주받은 장신구 강화 주문서,31,0,0
323,저주받은 유물 강화 주문서,31,0,0
330,고대의 무기 강화 주문서,33,0,0
331,고대의 방어구 강화 주문서,33,0,0
332,고대의 장신구 강화 주문서,33,0,0
333,고대의 슬롯 강화 주문서,94,0,6
334,고대의 매터리얼 슬롯 강화 주문서,98,0,6
335,고대의 유물 강화 주문서,33,0,0
340,수호의 팔찌 강화 주문서,30,0,6
341,파괴의 가면 강화 주문서,30,0,6
342,생명의 금관 강화 주문서,30,0,6
343,숙련의 나팔 강화 주문서,30,0,6
344,영혼의 부적 강화 주문서,30,0,6
345,극복의 성배 강화 주문서,30,0,6
346,룬 강화 주문서[테스트],160,0,6
350,마나에 물든 파피루스,114,2,6
351,마나에 물든 상급 파피루스,114,3,6
352,마나에 물든 최상급 파피루스,114,4,6
360,조각상 강화 주문서,30,0,6
400,변신의 돌,29,0,6
401,서번트 소환의 돌,42,0,6
410,마법의 크리스탈,43,0,6
411,반짝이는 가루,43,0,6
450,시간의 모래 : 필드 던전,41,0,7
451,시간의 모래 : 발레포르 던전,41,0,7
452,시간의 모래 : 원시해적의 동굴,41,0,7
453,시간의 모래 : 메테오스의 탑,41,0,7
454,시간의 모래[하급] : 메테오스의 탑,41,0,7
455,시간의 모래 : 엘테르 던전,41,0,0
